AR_p,d,MA_q,SAR_P,D,SMA_Q,E,Box-Cox,IN_SAMPLE_MAPE,IN_SAMPLE_R2,IN_SAMPLE_MAE,AIC,IN_SAMPLE_TIME
2,0,2,1,0,0,12,False,0.0572994084115195,0.9067188049210813,0.3140516655314592,61.785897893783456,0.10120105743408203
2,0,2,1,0,1,12,False,0.057452001462808905,0.9043170220816064,0.3102482551277802,58.35945508950509,0.11240077018737793
2,0,1,1,0,1,12,False,0.05748153962623393,0.9028190967121964,0.31100519566923907,57.04429009835766,0.07624483108520508
2,0,2,1,0,2,12,False,0.05750673633132133,0.907099424906892,0.309943020832344,58.59198394525376,0.26901793479919434
2,0,1,0,0,2,12,False,0.05761726984973923,0.9040140608535787,0.31086518959611237,56.2620174992815,0.143157958984375
2,0,2,0,0,0,12,False,0.057728797381538965,0.9078622942208543,0.3175702601975132,61.38350302610317,0.023298978805541992
2,0,1,1,0,2,12,False,0.05785184598900631,0.9035419432112106,0.31146916736530383,57.14894681089987,0.22102093696594238
2,0,2,0,0,2,12,False,0.05805786386854045,0.9044514865287688,0.31231395573046755,57.35281072903222,0.18006610870361328
2,0,2,2,0,2,12,False,0.0581061156127925,0.902584357334354,0.3116381796613295,60.252182299264966,0.31066107749938965
2,0,1,0,0,1,12,False,0.05835237584482644,0.8984558254086129,0.3155073943074146,55.225655368155465,0.06973695755004883
2,0,1,2,0,2,12,False,0.058540487430770116,0.8998414358645356,0.31363908159132386,58.71631809947691,0.2256028652191162
1,0,2,1,0,1,12,False,0.05871031357747122,0.8989746213115049,0.3173839103952986,57.73125956968934,0.09591007232666016
1,0,1,1,0,0,12,False,0.05877284793736995,0.9025867743835035,0.32209649282818803,59.55191841413954,0.04649972915649414
1,0,2,0,0,2,12,False,0.05894327604830113,0.9010387873033574,0.3175424919417509,57.23131806746542,0.13694310188293457
1,0,2,1,0,2,12,False,0.05896592033337947,0.8989714423820073,0.3171690552746604,58.43348157207141,0.2109696865081787
2,0,2,0,0,1,12,False,0.05897967819632769,0.8978426544418942,0.31827966834629784,56.648467325953256,0.08276510238647461
2,0,2,2,0,0,12,False,0.05906600117204513,0.8924359589500245,0.314642497885194,57.28652275786474,0.20580816268920898
1,0,1,1,0,1,12,False,0.05937968203307684,0.8983513552174889,0.32079160460163614,55.808619347516895,0.055227041244506836
1,0,1,1,0,2,12,False,0.05938152836209345,0.8986638840795906,0.31917025231174856,56.444172995030144,0.18724584579467773
1,0,2,1,0,0,12,False,0.05945677791781772,0.9020152844697465,0.3252754297119981,61.4983124502985,0.052806854248046875
1,0,1,0,0,2,12,False,0.059478213005763815,0.9004815055174242,0.3201870549251633,55.29151568510851,0.059868812561035156
1,0,0,0,0,2,12,False,0.0595542193544259,0.8962670941677773,0.3215969020209769,58.30273941854972,0.08552312850952148
2,0,1,2,0,1,12,False,0.05974577324078754,0.894226582567964,0.3169606054917163,55.893457942271,0.23586297035217285
1,0,2,0,0,1,12,False,0.0597467672836548,0.8946368609787799,0.323834438248012,56.20132209649137,0.06582474708557129
1,0,2,2,0,2,12,False,0.05986628123208782,0.893627540505157,0.31940581096952964,59.86581326217841,0.26474595069885254
2,0,2,2,0,1,12,False,0.059905981186283576,0.8953587559463233,0.3183361270720102,57.81290815067557,0.24038481712341309
1,0,2,2,0,1,12,False,0.05994354451584962,0.8931831485397528,0.31959066126201147,57.89873127702136,0.23146915435791016
1,0,1,2,0,0,12,False,0.05994614901287278,0.8920025300707957,0.32017026922030367,55.344399116616344,0.11603927612304688
1,0,2,2,0,0,12,False,0.060114356411110494,0.891870498723612,0.32103925343431006,57.33172377847046,0.22201967239379883
2,0,1,1,0,0,12,False,0.060146103786211456,0.9011556196887555,0.3283602285946501,61.42601716332342,0.05796241760253906
1,0,1,2,0,2,12,False,0.06019956058335344,0.8938568141476134,0.3216370946406843,58.06978040719294,0.23129916191101074
1,0,0,1,0,1,12,False,0.06023055926007433,0.8933516671072743,0.324912090191742,58.64516560430582,0.06733274459838867
2,0,1,2,0,0,12,False,0.060269266430503426,0.8917109014527442,0.3218385031790083,57.317950371078766,0.17399811744689941
1,0,1,0,0,0,12,False,0.06028730870307953,0.9042048385267756,0.32991223548110343,59.40546203732989,0.0063860416412353516
1,0,1,2,0,1,12,False,0.060360435855020926,0.8921691728650072,0.3220118652492689,56.16261091265999,0.1875150203704834
1,0,1,0,0,1,12,False,0.060405401244293666,0.8940324047475404,0.3272591411819146,54.30862386620824,0.05096077919006348
2,0,0,1,0,1,12,False,0.060506222218844614,0.8972666117600234,0.32630817693459696,56.366165299914,0.07149410247802734
2,0,0,1,0,2,12,False,0.060522211107052214,0.8973604155727618,0.32509572365427347,56.938798809365494,0.1460099220275879
1,0,0,1,0,2,12,False,0.06063941767746047,0.895131739538408,0.32583686515992666,59.30933229169663,0.13246512413024902
