AR_p,d,MA_q,SAR_P,D,SMA_Q,E,Box-Cox,IN_SAMPLE_MAPE,IN_SAMPLE_R2,IN_SAMPLE_MAE,AIC,IN_SAMPLE_TIME
0,0,1,0,0,0,12,True,2.757086035150356,-493.0781040205845,4.256008009403949,-70.1328337434172,1.2554540634155273
0,0,1,0,0,0,12,False,0.1315742929312161,0.6631509121047714,0.7399083975095513,124.84563806898188,0.2180342674255371
0,0,1,0,1,0,12,True,2.206485080602022,-408.7704760991547,3.4250302201066085,-20.545436085895435,0.1250302791595459
0,0,1,0,1,0,12,False,0.4122449116571822,-3.8798179813653055,2.3536578532541825,128.26894730339586,0.07404065132141113
0,0,1,0,2,0,12,True,2.8452209220253852,-992.9212774732678,4.628289355753196,10.845429912658833,0.3609883785247803
0,0,1,0,2,0,12,False,0.5734053245000573,-6.522482171754114,3.208406490238994,112.21486425939213,0.16210412979125977
0,0,1,0,0,1,12,True,2.723214719269647,-492.5137927812378,4.221342546976321,-76.9893038322494,0.15278196334838867
0,0,1,0,0,1,12,False,0.10751937870545598,0.714397378315486,0.6147341495824107,116.37428663700743,0.291196346282959
0,0,1,0,1,1,12,True,2.0572061271127287,-346.0248279556065,3.188323545328211,-26.433505751706846,0.13968920707702637
0,0,1,0,1,1,12,False,0.39317389398792785,-4.059767647975144,2.3009105711710585,120.14250517416667,0.17476487159729004
0,0,1,0,2,1,12,True,2.893851307056451,-976.0081532955011,4.683469281375178,4.513381798029151,0.36240458488464355
0,0,1,0,2,1,12,False,0.5429552957248487,-6.317450159057277,3.0695889695720187,104.45768635252446,0.3061537742614746
0,0,1,0,0,2,12,True,2.7000414402437536,-484.0075613647087,4.187446828357319,-81.32398728721064,0.25999879837036133
0,0,1,0,0,2,12,False,0.10560489764768849,0.7318870931855377,0.6085651859556479,113.17024292903841,0.22396588325500488
0,0,1,0,1,2,12,True,2.0904563287374174,-359.4601396640798,3.2426686696950426,-24.718232896314504,0.6363136768341064
0,0,1,0,1,2,12,False,0.393227657636717,-4.080579180048484,2.303657078655769,122.13248322265017,0.23447751998901367
0,0,1,0,2,2,12,True,2.877180741711095,-936.9511108241859,4.642310639376826,4.074973344613623,5.8919196128845215
0,0,1,0,2,2,12,False,0.5323861733239176,-6.3591833434309555,3.025840968037182,102.52148573721034,3.657870054244995
0,0,1,1,0,0,12,True,2.760426840719594,-494.5868837077708,4.261674059067651,-68.53856829747643,0.29204678535461426
0,0,1,1,0,0,12,False,0.12914714979971706,0.6666722855107355,0.7243879632871022,126.14385689690096,0.23610711097717285
0,0,1,1,1,0,12,True,2.1182367714977954,-365.3533568471723,3.277313909113572,-21.632716379898888,0.254528284072876
0,0,1,1,1,0,12,False,0.4106139027531215,-4.2035411400652,2.3822831955794537,125.51247716902465,0.1301717758178711
0,0,1,1,2,0,12,True,2.9363454291089877,-979.9755264766532,4.739695073774816,2.3026371972320145,0.25362634658813477
0,0,1,1,2,0,12,False,0.529068575024577,-6.344052815605881,3.0080378853113245,99.5484741849119,0.20765304565429688
0,0,1,1,0,1,12,True,2.721749667624104,-489.12841833795085,4.215932674183929,-75.82026613853928,0.2022857666015625
0,0,1,1,0,1,12,False,0.10727841530327002,0.7182995012146279,0.6151233688902388,117.74824462816785,0.10757946968078613
0,0,1,1,1,1,12,True,2.072004760736583,-351.6439895041268,3.212090282896032,-24.562944572498743,0.18857288360595703
0,0,1,1,1,1,12,False,0.39312390095224353,-4.068386497788271,2.301680016097127,122.13895682197672,0.17482686042785645
0,0,1,1,2,1,12,True,2.9168792361208387,-961.2789176636625,4.705132153697136,3.9639843759531344,0.29492783546447754
0,0,1,1,2,1,12,False,0.5295215666268828,-6.414177207483427,3.015397283828511,101.23963154172662,0.28011655807495117
0,0,1,1,0,2,12,True,2.7069556165847963,-485.9021810091279,4.198095890181796,-81.80857995760488,0.20116209983825684
0,0,1,1,0,2,12,False,0.09902687567235237,0.7484139536597014,0.570871141908939,111.20556836762186,4.106666564941406
0,0,1,1,1,2,12,True,2.1067522617345973,-368.65809373651774,3.2724243494176615,-24.137572986332174,3.6914255619049072
0,0,1,1,1,2,12,False,0.3898572902627186,-3.860551687113042,2.2671808410651058,123.24487967997968,5.209676504135132
0,0,1,1,2,2,12,True,2.906819193075472,-952.1957139245502,4.687555264084685,5.848397255644764,5.609878063201904
0,0,1,1,2,2,12,False,0.5313268355336644,-6.457247549198476,3.0262149337521365,103.07872207823961,0.697831392288208
0,0,1,2,0,0,12,True,2.7026081499161076,-496.10408333946833,4.207167941163053,-97.71499352422438,0.371767520904541
0,0,1,2,0,0,12,False,0.08836791479821184,0.7724085201008198,0.5042250006551044,89.40995511441602,0.6446733474731445
0,0,1,2,1,0,12,True,2.1450405001632724,-391.15978125959697,3.340768705460721,-30.414031369090253,1.2087702751159668
0,0,1,2,1,0,12,False,0.37848172053849155,-3.458323180819405,2.1879709740051463,115.14760942342981,0.7485384941101074
0,0,1,2,2,0,12,True,2.814245482406251,-883.2436729089445,4.533748840348415,3.2338143524536065,1.0969841480255127
0,0,1,2,2,0,12,False,0.539134190097499,-6.65607163559894,3.0736808184933744,100.41364723623379,1.342198371887207
0,0,1,2,0,1,12,True,2.697982336740065,-484.7394206933125,4.186601173976149,-80.45665760901667,0.9404182434082031
0,0,1,2,0,1,12,False,0.08863310703255606,0.7747281646011905,0.5060091478263181,87.88324737394802,0.9447028636932373
0,0,1,2,1,1,12,True,2.138423877260617,-388.776835236502,3.3310611725849166,-29.58430305803831,2.344268321990967
